Membership No  Date Joined  Active  
    39160      2018-10-21   yes   
    74245      2017-10-4    no    
    48188      2018-2-5     no    
    90334      2019-6-16    no    
    56741      2016-2-14    yes   
    47125      2016-6-19    yes   
    70776      2019-3-21    yes   
    61609      2019-11-2    no    
    26579      2020-10-22   yes   
    11174      2020-4-3     no    
    49417      2020-12-6    no    
    26796      2017-3-3     yes   
    83574      2017-9-3     yes   
    52361      2019-8-20    no    
    26098      2016-9-11    no    
    93056      2015-3-11    yes   
    37324      2020-7-3     no    
    23811      2018-11-9    yes   
    55621      2017-12-20   yes   
    47440      2020-1-1     yes   
